time,action
431.2,RUNNING
431.6,RUNNING
432.0,RUNNING
432.4,RUNNING
432.8,RUNNING
433.2,RUNNING
433.6,WARNING
434.0,RUNNING
434.4,RUNNING
434.8,RUNNING
435.2,RUNNING
435.6,RUNNING
436.0,WARNING
436.4,WARNING
436.8,WARNING
437.2,WARNING
437.6,WARNING
438.0,STOP SYSTEM
438.4,WARNING
438.8,WARNING
439.2,STOP SYSTEM
439.6,WARNING
440.0,STOP SYSTEM
440.4,WARNING
440.8,WARNING
441.2,WARNING
441.6,RUNNING
442.0,WARNING
442.4,WARNING
442.8,WARNING
443.2,WARNING
443.6,WARNING
444.0,RUNNING
444.4,RUNNING
444.8,RUNNING
445.2,RUNNING
445.6,RUNNING
446.0,RUNNING
446.4,STOP SYSTEM
446.8,STOP SYSTEM
447.2,WARNING
447.6,STOP SYSTEM
448.0,WARNING
448.4,WARNING
448.8,WARNING
449.2,WARNING
449.6,WARNING
450.0,WARNING
450.4,WARNING
450.8,WARNING
451.2,STOP SYSTEM
451.6,RUNNING
452.0,STOP SYSTEM
452.4,RUNNING
452.8,RUNNING
453.2,STOP SYSTEM
453.6,RUNNING
454.0,WARNING
454.4,RUNNING
454.8,RUNNING
455.2,WARNING
455.6,WARNING
456.0,WARNING
456.4,WARNING
456.8,WARNING
457.2,WARNING
457.6,WARNING
458.0,WARNING
458.4,WARNING
458.8,WARNING
459.2,WARNING
459.6,RUNNING
460.0,WARNING
460.4,RUNNING
460.8,RUNNING
461.2,WARNING
461.6,RUNNING
462.0,RUNNING
462.4,WARNING
462.8,WARNING
463.2,RUNNING
463.6,WARNING
464.0,WARNING
464.4,WARNING
464.8,WARNING
465.2,WARNING
465.6,WARNING
466.0,WARNING
466.4,WARNING
466.8,WARNING
467.2,WARNING
467.6,WARNING
468.0,WARNING
468.4,WARNING
468.8,WARNING
469.2,RUNNING
469.6,RUNNING
470.0,RUNNING
470.4,RUNNING
470.8,RUNNING
471.2,RUNNING
471.6,RUNNING
472.0,RUNNING
472.4,WARNING
472.8,WARNING
473.2,WARNING
473.6,WARNING
474.0,WARNING
474.4,WARNING
474.8,WARNING
475.2,WARNING
475.6,WARNING
476.0,WARNING
476.4,WARNING
476.8,WARNING
477.2,WARNING
477.6,RUNNING
478.0,WARNING
478.4,RUNNING
478.8,RUNNING
479.2,RUNNING
479.6,RUNNING
480.0,RUNNING
480.4,RUNNING
480.8,RUNNING
481.2,WARNING
481.6,STOP SYSTEM
482.0,WARNING
482.4,WARNING
482.8,WARNING
483.2,WARNING
483.6,WARNING
484.0,WARNING
484.4,WARNING
484.8,WARNING
485.2,RUNNING
485.6,RUNNING
486.0,RUNNING
486.4,RUNNING
486.8,RUNNING
487.2,RUNNING
487.6,RUNNING
488.0,RUNNING
488.4,WARNING
488.8,WARNING
489.2,WARNING
489.6,WARNING
490.0,WARNING
490.4,WARNING
490.8,WARNING
491.2,WARNING
491.6,WARNING
492.0,STOP SYSTEM
492.4,WARNING
492.8,WARNING
493.2,STOP SYSTEM
493.6,RUNNING
494.0,STOP SYSTEM
494.4,RUNNING
494.8,RUNNING
495.2,WARNING
495.6,RUNNING
496.0,WARNING
496.4,RUNNING
496.8,RUNNING
497.2,RUNNING
497.6,WARNING
498.0,RUNNING
498.4,WARNING
498.8,WARNING
499.2,WARNING
499.6,STOP SYSTEM
500.0,WARNING
500.4,WARNING
500.8,WARNING
501.2,WARNING
501.6,WARNING
502.0,WARNING
502.4,RUNNING
502.8,RUNNING
503.2,RUNNING
503.6,RUNNING
504.0,RUNNING
504.4,RUNNING
504.8,RUNNING
505.2,RUNNING
505.6,RUNNING
506.0,RUNNING
506.4,RUNNING
506.8,RUNNING
507.2,RUNNING
507.6,RUNNING
508.0,WARNING
508.4,WARNING
508.8,WARNING
509.2,WARNING
509.6,WARNING
510.0,WARNING
510.4,WARNING
510.8,WARNING
511.2,WARNING
511.6,WARNING
512.0,WARNING
512.4,WARNING
512.8,WARNING
513.2,RUNNING
513.6,RUNNING
514.0,RUNNING
514.4,RUNNING
514.8,RUNNING
515.2,RUNNING
515.6,RUNNING
516.0,RUNNING
516.4,WARNING
516.8,WARNING
517.2,WARNING
517.6,WARNING
518.0,WARNING
518.4,WARNING
518.8,WARNING
519.2,WARNING
519.6,WARNING
520.0,WARNING
520.4,WARNING
520.8,WARNING
521.2,WARNING
521.6,WARNING
522.0,WARNING
522.4,RUNNING
522.8,RUNNING
523.2,RUNNING
523.6,WARNING
524.0,RUNNING
524.4,RUNNING
524.8,RUNNING
525.2,RUNNING
525.6,RUNNING
526.0,WARNING
526.4,WARNING
526.8,WARNING
527.2,WARNING
527.6,WARNING
528.0,WARNING
528.4,WARNING
528.8,WARNING
529.2,WARNING
529.6,WARNING
530.0,STOP SYSTEM
530.4,RUNNING
